dataset,profile_id,seed,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,val_f1,val_auc,val_pr_auc,val_precision,val_recall,val_specificity,test1_f1_report_only,test1_auc_report_only,test1_pr_auc_report_only,test1_precision_report_only,test1_recall_report_only,test1_specificity_report_only,test2_f1_report_only,test2_auc_report_only,test2_pr_auc_report_only,test2_precision_report_only,test2_recall_report_only,test2_specificity_report_only,saved_dir,selected_by,external_test_used_for_selection
dpn,s12_h0p50_m0p40_e0p10,42,12,0.5,0.4,0.1,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.9863013698630136,0.998650381267292,0.9970540580350569,0.9863013698630136,0.9863013698630136,0.9950738916256158,0.9864864864864865,0.9999328498522697,0.9998148833765275,0.9733333333333334,1.0,0.9901960784313726,outputs\dpn_sdss32_final_s12_h0p50_m0p40_e0p10_seed42_20260519_121738\20260519_160203,internal_validation_selection_score,False
dpn,s12_h0p50_m0p40_e0p10,52,12,0.5,0.4,0.1,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,0.9998650381267292,0.9996347031963471,0.948051948051948,1.0,0.9802955665024631,0.9733333333333334,0.9998656997045393,0.9996272309088974,0.948051948051948,1.0,0.9803921568627451,outputs\dpn_sdss32_final_s12_h0p50_m0p40_e0p10_seed52_20260519_121738\20260519_160254,internal_validation_selection_score,False
dpn,s12_h0p50_m0p40_e0p10,62,12,0.5,0.4,0.1,distance_only,1.0,1.0,0.9999999999999996,1.0,1.0,1.0,0.9931972789115646,0.9998650381267292,0.9996272309088974,0.9864864864864865,1.0,0.9950738916256158,0.9864864864864865,1.0,1.0000000000000002,0.9733333333333334,1.0,0.9901960784313726,outputs\dpn_sdss32_final_s12_h0p50_m0p40_e0p10_seed62_20260519_121738\20260519_160339,internal_validation_selection_score,False
dpn,s12_h0p50_m0p40_e0p10,72,12,0.5,0.4,0.1,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.9864864864864865,1.0,1.0,0.9733333333333334,1.0,0.9901477832512315,0.9795918367346939,0.9987912973408541,0.9970290783481683,0.972972972972973,0.9863013698630136,0.9901960784313726,outputs\dpn_sdss32_final_s12_h0p50_m0p40_e0p10_seed72_20260519_121738\20260519_160426,internal_validation_selection_score,False
dpn,s12_h0p50_m0p40_e0p10,82,12,0.5,0.4,0.1,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.9668874172185431,1.0,1.0000000000000002,0.9358974358974359,1.0,0.9753694581280788,0.9668874172185431,0.9972468439430566,0.9915464864361356,0.9358974358974359,1.0,0.9754901960784313,outputs\dpn_sdss32_final_s12_h0p50_m0p40_e0p10_seed82_20260519_121738\20260519_160516,internal_validation_selection_score,False
