dataset,profile_id,seed,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,val_f1,val_auc,val_pr_auc,val_precision,val_recall,val_specificity,test1_f1_report_only,test1_auc_report_only,test1_pr_auc_report_only,test1_precision_report_only,test1_recall_report_only,test1_specificity_report_only,test2_f1_report_only,test2_auc_report_only,test2_pr_auc_report_only,test2_precision_report_only,test2_recall_report_only,test2_specificity_report_only,saved_dir,selected_by,external_test_used_for_selection
dn,s10_h0p40_m0p40_e0p20,42,10,0.4,0.4,0.2,distance_only,0.9941520467836257,0.9988927335640139,0.9988582988665103,0.9883720930232558,1.0,0.9882352941176471,0.8944723618090452,0.9867388250846898,0.9520140125448757,0.8240740740740741,0.978021978021978,0.9285714285714286,0.8888888888888888,0.9787061994609164,0.9444078605073398,0.822429906542056,0.967032967032967,0.9283018867924528,outputs\dn_sdss32_final_s10_h0p40_m0p40_e0p20_seed42_20260519_002234\20260519_024924,internal_validation_selection_score,False
dn,s10_h0p40_m0p40_e0p20,52,10,0.4,0.4,0.2,distance_only,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.8110599078341014,0.9696356275303644,0.9128741520583112,0.6984126984126984,0.967032967032967,0.8571428571428571,0.8411214953271028,0.9724652705784782,0.8673590125963003,0.7317073170731707,0.989010989010989,0.8754716981132076,outputs\dn_sdss32_final_s10_h0p40_m0p40_e0p20_seed52_20260519_002234\20260519_025009,internal_validation_selection_score,False
dn,s10_h0p40_m0p40_e0p20,62,10,0.4,0.4,0.2,distance_only,0.9882352941176471,0.9986159169550173,0.9985940282534026,0.9882352941176471,0.9882352941176471,0.9882352941176471,0.8115942028985508,0.964967363463604,0.9399706793106928,0.7241379310344828,0.9230769230769231,0.8796992481203008,0.8756218905472637,0.980634459879743,0.8915643946719778,0.8,0.967032967032967,0.9169811320754717,outputs\dn_sdss32_final_s10_h0p40_m0p40_e0p20_seed62_20260519_002234\20260519_025046,internal_validation_selection_score,False
dn,s10_h0p40_m0p40_e0p20,72,10,0.4,0.4,0.2,distance_only,0.9941520467836257,1.0,0.9999999999999998,0.9883720930232558,1.0,0.9882352941176471,0.7777777777777778,0.9900437907956705,0.9701606432892639,0.6363636363636364,1.0,0.8045112781954887,0.7913043478260869,0.9855276798673025,0.954232005968936,0.6546762589928058,1.0,0.8188679245283019,outputs\dn_sdss32_final_s10_h0p40_m0p40_e0p20_seed72_20260519_002234\20260519_025122,internal_validation_selection_score,False
dn,s10_h0p40_m0p40_e0p20,82,10,0.4,0.4,0.2,distance_only,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.7659574468085106,0.9794059324134513,0.9334362629348423,0.625,0.989010989010989,0.7969924812030075,0.8256880733944955,0.9765913331951068,0.8980279764150234,0.7086614173228346,0.989010989010989,0.8603773584905661,outputs\dn_sdss32_final_s10_h0p40_m0p40_e0p20_seed82_20260519_002234\20260519_025157,internal_validation_selection_score,False
