dataset,profile_id,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,n_seeds,val_f1_mean,val_f1_std,val_auc_mean,val_auc_std,val_pr_auc_mean,val_pr_auc_std,test1_f1_report_only_mean,test1_f1_report_only_std,test1_auc_report_only_mean,test1_auc_report_only_std,test1_pr_auc_report_only_mean,test1_pr_auc_report_only_std,test2_f1_report_only_mean,test2_f1_report_only_std,test2_auc_report_only_mean,test2_auc_report_only_std,test2_pr_auc_report_only_mean,test2_pr_auc_report_only_std,selection_score,mean_external_f1_report_only
dn,s10_h0p60_m0p30_e0p10,10,0.6,0.3,0.1,distance_only,5,0.9847898345469195,0.010457162397044764,0.999529411764706,0.000475448139441311,0.9995237666130248,0.0004862910725613225,0.8624286487924356,0.02437065330143195,0.9840122283731307,0.005158904359689703,0.9558382737854076,0.016665930382943783,0.8641518402226858,0.031601139446536544,0.9791996682562722,0.007161398869341713,0.9144550248517662,0.044343050063369374,1.0295377239366323,0.8632902445075608
dn,s6_h0p50_m0p35_e0p15,6,0.5,0.35,0.15,distance_only,5,0.9848625266160849,0.010464789242984256,0.9980069204152249,0.002515454322080717,0.9978047373623171,0.002893131581956677,0.8229306907369637,0.019877110019687522,0.974750061968107,0.008283631767406296,0.9236920756851218,0.0186108928237933,0.845820928484728,0.015804553550229104,0.9773792245490359,0.010309189888640078,0.9211442252451734,0.042076202017975906,1.029530478015354,0.8343758096108458
dn,s8_h0p60_m0p20_e0p20,8,0.6,0.2,0.2,distance_only,5,0.982604565394292,0.007053293664065783,0.9988927335640139,0.0013419182996308589,0.998891895234858,0.0013675586850787917,0.8299572153031777,0.03843477667923966,0.980434602990994,0.00616310824691727,0.9351401908292167,0.02409553088923519,0.8532658158886435,0.037404133433494545,0.9779307484967863,0.00811203140581757,0.9145207720139672,0.038477653768896336,1.0290225552404597,0.8416115155959105
dn,s8_h0p50_m0p30_e0p20,8,0.5,0.3,0.2,distance_only,5,0.9850758113535723,0.013078178144659745,0.9993079584775085,0.0006491924927091564,0.999291752442371,0.000680125211869824,0.8252212035549051,0.02305920137317689,0.9825786994959926,0.006038731182970463,0.9445875615505998,0.02102957222418751,0.8441077230544334,0.01985882649380427,0.9817997097242381,0.003990319534989944,0.9344606743277151,0.017430705489383677,1.0285021202051179,0.8346644633046693
dn,s4_h0p55_m0p25_e0p20,4,0.55,0.25,0.2,distance_only,5,0.9837969218324176,0.010821373722852828,0.9996401384083045,0.0006608905957820744,0.9996390166289683,0.0006641170145107347,0.8082778038286806,0.05095990440381497,0.9744030405684541,0.01779602530764116,0.9079372788941015,0.08901496452308381,0.8191101823151465,0.037344787473894955,0.9736968691685673,0.014689215570191143,0.8894807708020442,0.08739278722419108,1.0283682418914066,0.8136939930719136
dn,s8_h0p50_m0p35_e0p15,8,0.5,0.35,0.15,distance_only,5,0.9838516555648505,0.010813023765415078,0.9983114186851211,0.002160677319353986,0.9983316114899754,0.002139354637613007,0.78255001251291,0.0572283479163227,0.9718169048996117,0.014501144661202399,0.9225499863985747,0.029594951009657106,0.8040960637707151,0.05265411858694993,0.9733153638814016,0.014201469176938613,0.906396835745525,0.043199059797521235,1.028360714616399,0.7933230381418126
dn,s6_h0p60_m0p25_e0p15,6,0.6,0.25,0.15,distance_only,5,0.9824089635854343,0.008028887850630901,0.9982006920415225,0.0018927050977408167,0.998155317679059,0.0020020517895817016,0.8571873098928817,0.022983514904247087,0.9830331322812527,0.006923341139768643,0.9558819978033384,0.013492640982223882,0.8715891254677308,0.04891093960750975,0.9850756790379431,0.006742138469634329,0.941515258183737,0.037789541492010026,1.0283045542621951,0.8643882176803063
dn,s12_h0p50_m0p35_e0p15,12,0.5,0.35,0.15,distance_only,5,0.9799854338947738,0.005752320294006562,0.9988373702422144,0.0006822841546777319,0.9988312965851215,0.000704962054597214,0.8359494435892303,0.031193516611904698,0.9791456663637115,0.005870869061026931,0.940116340184634,0.015613411782305424,0.8452951983192385,0.022210810672803345,0.9778063445987975,0.0036820658404940775,0.9196043365519412,0.018922550945668304,1.0270511422598811,0.8406223209542344
dn,s10_h0p50_m0p35_e0p15,10,0.5,0.35,0.15,distance_only,5,0.98357346817996,0.013427303358910249,0.9991972318339102,0.001426344418323982,0.9991072145481873,0.0016246121475590562,0.8615631048102086,0.024617604166750597,0.9864909526563661,0.00558918508794113,0.9673095124608242,0.013319601401975033,0.8696888081259626,0.01717886525107793,0.9855650010366993,0.005483705384746168,0.94918807776597,0.022881020829757986,1.0268196780922005,0.8656259564680856
dn,s6_h0p55_m0p35_e0p10,6,0.55,0.35,0.1,distance_only,5,0.9837323989839014,0.013748026080489193,0.9975640138408306,0.002869428147298001,0.9975156898580695,0.002890184260538266,0.8108783151293156,0.03671539229422739,0.9778856481864,0.006873613625030574,0.9338159863738131,0.025587863071254893,0.8323753840249793,0.036192619527471874,0.9760646900269542,0.010749811377950957,0.903091295507877,0.05044814674363914,1.0267365866356986,0.8216268495771475
dn,s6_h0p50_m0p40_e0p10,6,0.5,0.4,0.1,distance_only,5,0.9825489670312386,0.012160665275949223,0.9975916955017301,0.0030865362234075494,0.9973941877322021,0.00344501933776325,0.8066510332052331,0.027342257425563093,0.9694869040733703,0.010676527192708535,0.8911750373572065,0.06599931089155667,0.8426330501511577,0.01896152880120336,0.9735849056603774,0.01998990387536804,0.8966267376340801,0.10157703648827712,1.0263482191683506,0.8246420416781954
