dataset,profile_id,seed,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,val_f1,val_auc,val_pr_auc,val_precision,val_recall,val_specificity,test1_f1_report_only,test1_auc_report_only,test1_pr_auc_report_only,test1_precision_report_only,test1_recall_report_only,test1_specificity_report_only,test2_f1_report_only,test2_auc_report_only,test2_pr_auc_report_only,test2_precision_report_only,test2_recall_report_only,test2_specificity_report_only,saved_dir,selected_by,external_test_used_for_selection
df,s12_h0p45_m0p40_e0p15,42,12,0.45,0.4,0.15,distance_only,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.928,0.9991381786842861,0.9968995312911839,0.8787878787878788,0.9830508474576272,0.9661016949152542,0.944,0.998587570621469,0.9958333333333335,0.9076923076923077,0.9833333333333333,0.9745762711864406,outputs\df_sdss32_final_s12_h0p45_m0p40_e0p15_seed42_20260519_041636\20260519_062551,internal_validation_selection_score,False
df,s12_h0p45_m0p40_e0p15,52,12,0.45,0.4,0.15,distance_only,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.959349593495935,0.999569089342143,0.9983885736857223,0.921875,1.0,0.9788135593220338,0.944,0.9995762711864408,0.9984848484848485,0.9076923076923077,0.9833333333333333,0.9745762711864406,outputs\df_sdss32_final_s12_h0p45_m0p40_e0p15_seed52_20260519_041636\20260519_062620,internal_validation_selection_score,False
df,s12_h0p45_m0p40_e0p15,62,12,0.45,0.4,0.15,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.944,0.9999281815570239,0.9997175141242937,0.8939393939393939,1.0,0.9703389830508474,0.9230769230769231,0.9998587570621469,0.999462365591398,0.8571428571428571,1.0,0.9576271186440678,outputs\df_sdss32_final_s12_h0p45_m0p40_e0p15_seed62_20260519_041636\20260519_062647,internal_validation_selection_score,False
df,s12_h0p45_m0p40_e0p15,72,12,0.45,0.4,0.15,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.9291338582677166,0.9992099971272623,0.997022845077634,0.8676470588235294,1.0,0.961864406779661,0.9291338582677166,0.999364406779661,0.9978260869565219,0.8805970149253731,0.9833333333333333,0.9661016949152542,outputs\df_sdss32_final_s12_h0p45_m0p40_e0p15_seed72_20260519_041636\20260519_062714,internal_validation_selection_score,False
df,s12_h0p45_m0p40_e0p15,82,12,0.45,0.4,0.15,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.921875,1.0,0.9999999999999998,0.855072463768116,1.0,0.9576271186440678,0.916030534351145,0.9992937853107344,0.9976190476190477,0.8450704225352113,1.0,0.9533898305084746,outputs\df_sdss32_final_s12_h0p45_m0p40_e0p15_seed82_20260519_041636\20260519_062740,internal_validation_selection_score,False
