dataset,profile_id,seed,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,val_f1,val_auc,val_pr_auc,val_precision,val_recall,val_specificity,test1_f1_report_only,test1_auc_report_only,test1_pr_auc_report_only,test1_precision_report_only,test1_recall_report_only,test1_specificity_report_only,test2_f1_report_only,test2_auc_report_only,test2_pr_auc_report_only,test2_precision_report_only,test2_recall_report_only,test2_specificity_report_only,saved_dir,selected_by,external_test_used_for_selection
dka,s8_h0p40_m0p40_e0p20,42,8,0.4,0.4,0.2,distance_only,0.989247311827957,0.996219281663516,0.9959908521131648,0.9787234042553191,1.0,0.9782608695652174,0.8495575221238938,0.9915425629711344,0.9603300231611593,0.75,0.9795918367346939,0.9279279279279279,0.875,0.9874411302982731,0.9388835260470522,0.7777777777777778,1.0,0.9326923076923077,outputs\dka_sdss32_final_s8_h0p40_m0p40_e0p20_seed42_20260519_131725\20260519_145758,internal_validation_selection_score,False
dka,s8_h0p40_m0p40_e0p20,52,8,0.4,0.4,0.2,distance_only,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9019607843137255,0.9950358521787093,0.9797267712488135,0.8679245283018868,0.9387755102040817,0.9684684684684685,0.8990825688073395,0.992052590266876,0.9598713350859325,0.8166666666666667,1.0,0.9471153846153846,outputs\dka_sdss32_final_s8_h0p40_m0p40_e0p20_seed52_20260519_131725\20260519_145846,internal_validation_selection_score,False
dka,s8_h0p40_m0p40_e0p20,62,8,0.4,0.4,0.2,distance_only,0.989247311827957,1.0,0.9999999999999999,0.9787234042553191,1.0,0.9782608695652174,0.9423076923076923,0.9957712814855673,0.979288080263887,0.8909090909090909,1.0,0.972972972972973,0.9158878504672897,0.9914638932496076,0.9575905448169109,0.8448275862068966,1.0,0.9567307692307693,outputs\dka_sdss32_final_s8_h0p40_m0p40_e0p20_seed62_20260519_131725\20260519_145928,internal_validation_selection_score,False
dka,s8_h0p40_m0p40_e0p20,72,8,0.4,0.4,0.2,distance_only,0.9787234042553191,0.9995274102079396,0.9995374653098982,0.9583333333333334,1.0,0.9565217391304348,0.9158878504672897,0.9934730649016363,0.9624736031766126,0.8448275862068966,1.0,0.9594594594594594,0.8909090909090909,0.9933281004709575,0.966405434804599,0.8032786885245902,1.0,0.9423076923076923,outputs\dka_sdss32_final_s8_h0p40_m0p40_e0p20_seed72_20260519_131725\20260519_150013,internal_validation_selection_score,False
dka,s8_h0p40_m0p40_e0p20,82,8,0.4,0.4,0.2,distance_only,0.9787234042553191,0.9924385633270322,0.9918400051074998,0.9583333333333334,1.0,0.9565217391304348,0.8846153846153846,0.9875896304467733,0.9335899413019806,0.8363636363636363,0.9387755102040817,0.9594594594594594,0.9056603773584906,0.9866562009419152,0.9197311157189249,0.8421052631578947,0.9795918367346939,0.9567307692307693,outputs\dka_sdss32_final_s8_h0p40_m0p40_e0p20_seed82_20260519_131725\20260519_150100,internal_validation_selection_score,False
