dataset,method,profile_id,strata,hard_ratio,mid_ratio,easy_ratio,test1_f1_mean,test1_f1_std,test1_f1_text,test2_f1_mean,test2_f1_std,test2_f1_text,test1_auc_mean,test1_auc_std,test2_auc_mean,test2_auc_std,selection_basis,source_summary_file
DN,SDSS,s10_h0p55_m0p25_e0p20,10,0.55,0.25,0.2,0.8491237722549771,0.0341300843399977,0.8491 ± 0.0341,0.8607002254589304,0.0136261990449727,0.8607 ± 0.0136,0.9803850285053294,0.0093459100342238,0.980489321998756,0.0069213159561148,Final SDSS profile fixed from archived grid: 10 strata with moderate hard-aware ratio.,results/archived_profile_grid/dn_sdss32_final_profile_summary_20260519_002234.csv
DF,SDSS,s10_h0p60_m0p20_e0p20,10,0.6,0.2,0.2,0.9814532101560672,0.0123620519427976,0.9815 ± 0.0124,0.9723225797636128,0.0199024472846951,0.9723 ± 0.0199,0.9993823613904051,0.0006862326449636,0.9992372881355932,0.0005387635910384,Final SDSS profile fixed from archived grid: 10 strata with stronger hard-aware ratio.,results/archived_profile_grid/df_sdss32_final_profile_summary_20260519_041636.csv
DPN,SDSS,s8_h0p60_m0p20_e0p20,8,0.6,0.2,0.2,0.9918178452425028,0.0074696335311988,0.9918 ± 0.0075,0.9878282747889652,0.0088036620392999,0.9878 ± 0.0088,0.9999460152506916,5.645860223591548e-05,0.9996239591727102,0.0003241342569472,Final SDSS profile fixed from archived grid: compact 8-strata profile with stronger hard-aware ratio.,results/archived_profile_grid/dpn_sdss32_final_profile_summary_20260519_121738.csv
DKA,SDSS,s8_h0p60_m0p20_e0p20,8,0.6,0.2,0.2,0.93602267884579,0.017092126318163,0.9360 ± 0.0171,0.9190915443745632,0.0120297601942079,0.9191 ± 0.0120,0.9961206104063248,0.0013343913354779,0.9925235478806907,0.0025701942157495,Final SDSS profile fixed from archived grid: compact 8-strata profile with stronger hard-aware ratio.,results/archived_profile_grid/dka_sdss32_final_profile_summary_20260519_131725.csv
